source;target_url;relation;target_id
be-allergyintolerance;http://hl7.org/fhir/ValueSet/languages;Bound_Pref;
be-allergyintolerance;http://hl7.org/fhir/ValueSet/allergyintolerance-clinical;Bound_Req;
be-allergyintolerance;http://hl7.org/fhir/ValueSet/allergyintolerance-verification;Bound_Req;
be-allergyintolerance;http://hl7.org/fhir/ValueSet/allergy-intolerance-type;Bound_Req;
be-allergyintolerance;http://hl7.org/fhir/ValueSet/allergy-intolerance-category;Bound_Req;
be-allergyintolerance;http://hl7.org/fhir/ValueSet/allergy-intolerance-criticality;Bound_Req;
be-allergyintolerance;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-allergyintolerancecode;Bound_Ext;be-allergyintolerancecode
be-allergyintolerance;http://hl7.org/fhir/ValueSet/substance-code;Bound_Exam;
be-allergyintolerance;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-riskmanifestation;Bound_Ext;be-riskmanifestation
be-allergyintolerance;http://hl7.org/fhir/ValueSet/reaction-event-severity;Bound_Req;
be-allergyintolerance;http://hl7.org/fhir/ValueSet/route-codes;Bound_Exam;
be-allergyintolerance;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-exposureroute;Bound_Ext;be-exposureroute
be-observation;http://hl7.org/fhir/ValueSet/languages;Bound_Pref;
be-observation;http://hl7.org/fhir/ValueSet/observation-status;Bound_Req;
be-observation;http://hl7.org/fhir/ValueSet/observation-category;Bound_Pref;
be-observation;http://hl7.org/fhir/ValueSet/observation-codes;Bound_Exam;
be-observation;http://hl7.org/fhir/ValueSet/data-absent-reason;Bound_Ext;
be-observation;http://hl7.org/fhir/ValueSet/observation-interpretation;Bound_Ext;
be-observation;http://hl7.org/fhir/ValueSet/body-site;Bound_Exam;
be-observation;http://hl7.org/fhir/ValueSet/observation-methods;Bound_Exam;
be-observation;http://hl7.org/fhir/ValueSet/referencerange-meaning;Bound_Pref;
be-observation;http://hl7.org/fhir/ValueSet/referencerange-appliesto;Bound_Exam;
be-organization;http://hl7.org/fhir/ValueSet/languages;Bound_Pref;
be-organization;http://hl7.org/fhir/ValueSet/identifier-use;Bound_Req;
be-organization;http://hl7.org/fhir/ValueSet/identifier-type;Bound_Ext;
be-organization;http://hl7.org/fhir/ValueSet/organization-type;Bound_Exam;
be-organization;http://hl7.org/fhir/ValueSet/contactentity-type;Bound_Ext;
be-patient;http://hl7.org/fhir/ValueSet/languages;Bound_Pref;
be-patient;http://hl7.org/fhir/StructureDefinition/patient-nationality;extension;
be-patient;http://hl7.org/fhir/StructureDefinition/patient-birthPlace;extension;
be-patient;http://hl7.org/fhir/ValueSet/identifier-use;Bound_Req;
be-patient;http://hl7.org/fhir/ValueSet/identifier-type;Bound_Ext;
be-patient;http://hl7.org/fhir/ValueSet/administrative-gender;Bound_Req;
be-patient;http://hl7.org/fhir/StructureDefinition/patient-birthTime;extension;
be-patient;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-civilstate;Bound_Req;be-civilstate
be-patient;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-contactperson;Bound_Ext;be-contactperson
be-patient;http://hl7.org/fhir/ValueSet/link-type;Bound_Req;
be-practitioner;http://hl7.org/fhir/ValueSet/languages;Bound_Pref;
be-practitioner;http://hl7.org/fhir/ValueSet/identifier-use;Bound_Req;
be-practitioner;http://hl7.org/fhir/ValueSet/identifier-type;Bound_Ext;
be-practitioner;http://hl7.org/fhir/ValueSet/administrative-gender;Bound_Req;
be-practitioner;http://terminology.hl7.org/ValueSet/v2-2.7-0360;Bound_Exam;
be-practitionerrole;http://hl7.org/fhir/ValueSet/languages;Bound_Pref;
be-practitionerrole;http://hl7.org/fhir/ValueSet/practitioner-role;Bound_Exam;
be-practitionerrole;http://hl7.org/fhir/ValueSet/c80-practice-codes;Bound_Pref;
be-practitionerrole;http://hl7.org/fhir/ValueSet/days-of-week;Bound_Req;
be-provenance;http://hl7.org/fhir/ValueSet/languages;Bound_Pref;
be-provenance;http://terminology.hl7.org/ValueSet/v3-PurposeOfUse;Bound_Ext;
be-provenance;http://hl7.org/fhir/ValueSet/provenance-activity-type;Bound_Ext;
be-provenance;http://hl7.org/fhir/ValueSet/provenance-agent-type;Bound_Ext;
be-provenance;http://hl7.org/fhir/ValueSet/security-role-type;Bound_Exam;
be-provenance;http://hl7.org/fhir/ValueSet/provenance-entity-role;Bound_Req;
be-causativeagent;http://snomed.info/sct;valuesFrom;
be-civilstate;http://terminology.hl7.org/CodeSystem/v3-MaritalStatus;valuesFrom;
be-civilstate;https://www.ehealth.fgov.be/standards/fhir/CodeSystem/cd-civilstate;valuesFrom;cd-civilstate
be-civilstate;http://terminology.hl7.org/CodeSystem/v3-NullFlavor;valuesFrom;
be-contactperson;http://terminology.hl7.org/CodeSystem/v2-0131;valuesFrom;
be-contactperson;https://www.ehealth.fgov.be/standards/fhir/CodeSystem/cd-contact-person;valuesFrom;cd-contact-person
be-exposureroute;http://snomed.info/sct;valuesFrom;
be-noallergy;http://snomed.info/sct;valuesFrom;
be-riskmanifestation;http://snomed.info/sct;valuesFrom;
be-organization;http://hl7.org/fhir/StructureDefinition/language;extension;
be-organization;http://hl7.org/fhir/ValueSet/address-use;Bound_Req;
be-organization;http://hl7.org/fhir/ValueSet/address-type;Bound_Req;
be-patient;http://hl7.org/fhir/ValueSet/address-use;Bound_Req;
be-patient;http://hl7.org/fhir/ValueSet/address-type;Bound_Req;
be-practitioner;http://hl7.org/fhir/ValueSet/address-use;Bound_Req;
be-practitioner;http://hl7.org/fhir/ValueSet/address-type;Bound_Req;
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-ext-addiction-quantifier;extension;be-ext-addiction-quantifier
be-addiction;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-vs-addiction-category;Bound_Ext;be-vs-addiction-category
be-addiction;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-vs-addiction-code;Bound_Ext;be-vs-addiction-code
be-communication;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-vs-diarytopic;Bound_Pref;be-vs-diarytopic
be-homecare-plan;http://hl7.org/fhir/ValueSet/languages;Bound_Pref;
be-homecare-plan;http://hl7.org/fhir/ValueSet/request-status;Bound_Req;
be-homecare-plan;http://hl7.org/fhir/ValueSet/care-plan-intent;Bound_Req;
be-homecare-plan;http://hl7.org/fhir/ValueSet/care-plan-category;Bound_Exam;
be-homecare-plan;http://hl7.org/fhir/ValueSet/care-plan-activity-outcome;Bound_Exam;
be-homecare-plan;http://hl7.org/fhir/ValueSet/care-plan-activity-kind;Bound_Req;
be-homecare-plan;http://hl7.org/fhir/ValueSet/procedure-code;Bound_Exam;
be-homecare-plan;http://hl7.org/fhir/ValueSet/clinical-findings;Bound_Exam;
be-homecare-plan;http://hl7.org/fhir/ValueSet/care-plan-activity-status;Bound_Req;
be-homecare-plan;http://hl7.org/fhir/ValueSet/medication-codes;Bound_Exam;
be-homecare-team;http://hl7.org/fhir/ValueSet/languages;Bound_Pref;
be-homecare-team;http://hl7.org/fhir/ValueSet/care-team-status;Bound_Req;
be-homecare-team;http://hl7.org/fhir/ValueSet/care-team-category;Bound_Exam;
be-homecare-team;http://hl7.org/fhir/ValueSet/participant-role;Bound_Exam;
be-homecare-team;http://hl7.org/fhir/ValueSet/clinical-findings;Bound_Exam;
be-patientwill;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-vs-patientwill-category;Bound_Req;be-vs-patientwill-category
be-patientwill;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-vs-patientwill-code;Bound_Req;be-vs-patientwill-code
be-problem;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-ext-problem-origin-type;extension;be-ext-problem-origin-type
be-problem;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-vs-problem-category;Bound_Ext;be-vs-problem-category
be-problem;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-vs-problem-code;Bound_Ext;be-vs-problem-code
be-problem;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-vs-bodysite;Bound_Req;be-vs-bodysite
be-problem;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-ext-laterality;extension;be-ext-laterality
be-scoreresult;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-vs-scorecategory;Bound_Req;be-vs-scorecategory
be-scoreresult;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-vs-score;Bound_Req;be-vs-score
be-scoreresult;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-ext-laterality;extension;be-ext-laterality
be-vaccination;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-ext-vaccination-originalorder;extension;be-ext-vaccination-originalorder
be-vaccination;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-ext-administeredProduct;extension;be-ext-administeredProduct
be-vaccination;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-ext-vaccination-location;extension;be-ext-vaccination-location
be-vaccination;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-ext-vaccination-confirmationStatus;extension;be-ext-vaccination-confirmationStatus
